name,price_eur,display_inch,display_cm,display_resolution,display_ratio,weight_kg,height_mm,width_mm,depth_mm,operating_system,cpu_processor,ram_memory,gpu_integrated,gpu_extra,internal_storage_gb,storage_type,battery_life_h,battery_capacity_wh,psu_watts,audio_system,speakers_count,has_touchscreen,keyboard_backlit,keyboard_numpad,has_webcam,has_bluetooth,bluetooth_version,wifi_standard,product_ean,product_sku,release_year,category
"Apple MacBook Air M1 256GB, Space grau",912.99,13.0,33.8,2560x1600,16:9,1.29,16.1,304.1,212.4,macOS Big Sur,M1,8.0,Apple GPU,,256.0,SSD,18.0,49.9,30.0,Dolby Atmos,2.0,False,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),194252056042.0,MGN63D/A,2020.0,Notebooks
MSI Stealth 17 Studio A13VI-013 - Intel Core i9 13900H / 2.6 GHz - Win 11 Home - GeForce RTX 4090 - 64 GB RAM - 4 TB SSD NVMe,4680.23,17.3,43.9,3840x2160,16:9,2.8,20.1,397.6,283.5,Windows 11 Home,i9-13900H,64.0,Intel Iris Xe Graphics,NVIDIA GeForce RTX 4090,4.0,SSD,,99.0,240.0,,2.0,False,True,True,True,True,5.3,Wi-Fi 6E (802.11ax),4711377038829.0,0017P2-013,,Notebooks
MSI Summit E14 FlipEvo A12MT-049 i7-1260P/16GB/1TB W11H,1651.12,14.0,35.6,2880x1800,,1.6,17.9,314.0,227.5,Windows 11 Home,i7-1260P,16.0,Intel Iris Xe Graphics,,1000.0,SSD,,72.0,65.0,,2.0,True,True,False,True,True,5.2,Wi-Fi 6E (802.11ax),4719072938260.0,0014F1-049,,Notebooks
Gigabyte GBT AORUS 15 9KF-E3DE383SH i5 W11 144Hz,1087.38,15.6,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,4719331992392.0,AORUS 15 9KF-E3DE383SH,,Notebooks
Fujitsu Lifebook A3511 FHD i3-1115G4 8GB 256GBSSD o. DVD,354.97,15.6,39.6,1920x1080,,1.95,23.9,361.0,244.0,,i3-1115G4,8.0,Intel® UHD Graphics,,256.0,SSD,,45.0,,,2.0,False,False,True,True,True,5.1,Wi-Fi 6E (802.11ax),4065221248040.0,FPC04902BS,,Notebooks
LENOVO TP X1 CARBON G11 I7-1355U 16GB 512GB SSD 14.0 WUXGA W11P,1997.16,14.0,35.6,1920x1200,16:10,1.12,15.4,315.6,222.5,Windows 11 Pro,Intel SoC,16.0,Intel Iris Xe Graphics,,512.0,SSD,,57.0,65.0,Dolby Atmos,4.0,False,True,False,True,True,5.1,Wi-Fi 6E (802.11ax),196804338804.0,21HM004FGE,,Notebooks
Apple MacBook Air M2 Chip 8-Core CPU und 8-Core GPU 8GB gem. RAM 256GB SSD DE - Mitternacht,1098.0,13.6,34.5,2560x1664,,1.24,11.3,304.1,215.0,macOS Monterey,M2,8.0,Apple GPU,,256.0,SSD,,52.6,30.0,,4.0,False,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),194253083092.0,MLY33D/A,2022.0,Notebooks
Lenovo ThinkPad E16 AMD G1 R7-7730U 16/512 SSD WUXGA W11P,886.61,16.0,40.6,1920x1200,,1.97,19.9,356.1,247.7,Windows 11 Pro,AMD SoC,16.0,AMD Radeon,,512.0,SSD,,57.0,65.0,Dolby Atmos,2.0,False,True,True,True,True,5.1,Wi-Fi 6 (802.11ax),197529232095.0,21JT000HGE,,Notebooks
ACER CHROMEB SPIN 714 CP714-2WN-36G6,748.88,14.0,35.6,1920x1200,16:10,1.37,18.1,312.6,224.0,ChromeOS,i3-1315U,8.0,Intel® UHD Graphics,,128.0,SSD,,56.0,65.0,,2.0,True,True,False,True,True,5.2,Wi-Fi 6E (802.11ax),4711121571176.0,NX.KLDEG.001,,Notebooks
Fujitsu Lifebook U7411 FHD i7-1165G7,1538.12,14.0,35.6,1920x1080,,1.2,17.9,322.0,211.0,Windows 10 Pro,i7-1165G7,16.0,Intel Iris Xe Graphics,,512.0,SSD,,65.0,,,2.0,False,False,False,True,True,5.1,Wi-Fi 6 (802.11ax),4063872950947.0,VFY:U7411MF7AMDE,,Notebooks
Lenovo ThinkPad E16 G1 i5-1335U 16/512 SSD WUXGA IPS W11P,955.53,16.0,40.6,1920x1200,16:10,1.97,19.9,356.1,247.7,Windows 11 Pro,Intel SoC,16.0,Intel Iris Xe Graphics,,512.0,SSD,,57.0,65.0,Dolby Atmos,2.0,False,True,True,True,True,5.1,Wi-Fi 6 (802.11ax),197529356043.0,21JN004RGE,,Notebooks
LENOVO TP L15 G4 I5-1335U 16GB 512GB SSD 15.6 FHD W11P,1102.9,15.6,39.6,1920x1080,16:9,1.77,19.9,360.2,237.0,Windows 11 Pro,Intel SoC,16.0,Intel Iris Xe Graphics,,512.0,SSD,,57.0,65.0,Dolby Audio,2.0,False,True,True,True,True,5.1,Wi-Fi 6 (802.11ax),197529238653.0,21H3002AGE,,Notebooks
